ID,Site Name,Site Location,Cluster name,site acronym,Date,Sucralose (ug/L)
16,"R3","Waddell Canal","cap","waddell canal","05/08/13 00:00:00",1
17,"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro","05/08/13 00:00:00",0
18,"R25","verde river at beeline highway","verde","verde @ beeline","05/08/13 00:00:00",0
19,"R2A","Lake Pleasant integrated sample","cap","pleasant-epi","05/08/13 00:00:00",1
20,"Havasu 1","Havasu lake Sample",,"Havasu 1","05/08/13 00:00:00",
21,"R3","Waddell Canal","cap","waddell canal","08/05/13 00:00:00",7
22,"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro","08/05/13 00:00:00",4
23,"R25","verde river at beeline highway","verde","verde @ beeline","08/05/13 00:00:00",0
24,"R2A","Lake Pleasant integrated sample","cap","pleasant-epi","08/05/13 00:00:00",2
25,"Havasu 1","Havasu lake Sample",,"Havasu 1","08/05/13 00:00:00",
26,"R3","Waddell Canal","cap","waddell canal","11/04/13 00:00:00",1
27,"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro","11/04/13 00:00:00",
28,"R25","verde river at beeline highway","verde","verde @ beeline","11/04/13 00:00:00",1
29,"R2A","Lake Pleasant integrated sample","cap","pleasant-epi","11/04/13 00:00:00",1
30,"Havasu 1","Havasu lake Sample",,"Havasu 1","11/04/13 00:00:00",
