ID,site number,site location,date,tot N (ppm (0<mdl)),diss N (ppm (0<mdl)),tot P (ppb (0<mdl)),diss P (ppb (0<mdl)),MIB (0<mdl, ng/L),Geosmin  (0<mdl, ng/L),664nm,647nm,630nm,chl-a,chl-b,chl-c,chl-a (mg/m2),chl-b (mg/m2),chl-c (mg/m2),DWT (mg/m2)
1,"SP","1st scraping","08/01/99 00:00:00",0.2544,0.2296,48.82,18.708,,,,,,,,,,,,
2,"AZ Canal","Alma School","08/01/99 00:00:00",0.2984,0.256,43.18,10.55,,,,,,,,,,,,
3,"SP1",,"08/27/99 00:00:00",,,,,10,25,,,,,,,,,,
4,"SP2",,"08/27/99 00:00:00",,,,,11,24,,,,,,,,,,
5,"SP",,"10/02/99 00:00:00",,,,,38,10,,,,,,,,,,
6,"HS",,"10/02/99 00:00:00",,,,,27,7,,,,,,,,,,
7,"INF 1",,"10/13/99 00:00:00",,,,,33,8,,,,,,,,,,
8,"INF 2",,"10/13/99 00:00:00",,,,,26,7,,,,,,,,,,
9,"SP RAW 1",,"10/22/99 00:00:00",,,,,25,5,,,,,,,,,,
10,"H1",,"10/28/99 00:00:00",,,,,,,"0.359","0.101","0.065","4.087",,,,,,
11,"H2",,"10/28/99 00:00:00",,,,,,,"0.342","0.101","0.075","3.891",,,,,,
12,"H3",,"10/28/99 00:00:00",,,,,,,"0.34","0.111","0.064","3.853",,,,,,
13,"H4",,"10/28/99 00:00:00",,,,,,,"0.441","0.164","0.171","4.96",,,,,,
14,"H5",,"10/28/99 00:00:00",,,,,,,"0.346","0.111","0.083","3.923",,,,,,
15,"H6",,"10/28/99 00:00:00",,,,,,,"0.393","0.119","0.087","4.467",,,,,,
16,"H7",,"10/28/99 00:00:00",,,,,,,"0.358","0.109","0.078","4.068",,,,,,
17,"H8",,"10/28/99 00:00:00",,,,,,,"0.287","0.088","0.064","3.26",,,,,,
18,"H9",,"10/28/99 00:00:00",,,,,,,"0.411","0.124","0.095","4.672",,,,,,
19,"SP1",,"10/28/99 00:00:00",,,,,,,"0.518","0.195","0.106","5.824",,,,,,
20,"SP2",,"10/28/99 00:00:00",,,,,,,"0.53","0.199","0.13","5.964",,,,,,
21,"SP3",,"10/28/99 00:00:00",,,,,,,"0.305","0.105","0.072","3.447",,,,,,
22,"SP4",,"10/28/99 00:00:00",,,,,,,"0.494","0.188","0.132","5.554",,,,,,
23,"SP5",,"10/28/99 00:00:00",,,,,,,"0.457","0.166","0.119","5.15",,,,,,
24,"SP6",,"10/28/99 00:00:00",,,,,,,"0.292","0.107","0.076","3.289",,,,,,
25,"SP7",,"10/28/99 00:00:00",,,,,,,"0.381","0.15","0.11","4.275",,,,,,
26,"SP8",,"10/28/99 00:00:00",,,,,,,"0.242","0.091","0.06","2.722",,,,,,
27,"SP9",,"10/28/99 00:00:00",,,,,,,"0.297","0.099","0.06","2.229",,,,,,
28,"HS","Hayden site","10/02/99 00:00:00",0.229,,21.26,,,,,,,,,,,,,
29,"SP","Squaw Peak","10/02/99 00:00:00",0.226,,15.48,,,,,,,,,,,,,
30,"HS","Hayden site","10/28/99 00:00:00",0.331,,24.94,,,,,,,,,,,,,
31,"SP","Squaw Peak","10/28/99 00:00:00",0.354,,56.98,,,,,,,,,,,,,
32,"SP","Squaw Peak","12/08/99 00:00:00",,,,,10.6,8,,,,,,,,,,
33,"HS","Hayden","12/08/99 00:00:00",,,,,11.9,7.9,,,,,,,,,,
