attributeName,code,definition
site number,HOC,metadata_not_provided
site number,HTC,metadata_not_provided
site number,Hwy 87,metadata_not_provided
site number,MOC,metadata_not_provided
site number,Pima,metadata_not_provided
site number,R11,metadata_not_provided
site number,R12,metadata_not_provided
site number,R13,metadata_not_provided
site number,R21,metadata_not_provided
site number,R22,metadata_not_provided
site number,R25,metadata_not_provided
site number,R3,metadata_not_provided
site number,SOCA,metadata_not_provided
cluster,cap,metadata_not_provided
cluster,srp,metadata_not_provided
cluster,tempe,metadata_not_provided
cluster,verde,metadata_not_provided
site acronym,az canal @ 56th st.,metadata_not_provided
site acronym,az canal @ central ave.,metadata_not_provided
site acronym,az canal @ hwy 87,metadata_not_provided
site acronym,az canal @ pima,metadata_not_provided
site acronym,az canal blw cap,metadata_not_provided
site acronym,az canal inflow,metadata_not_provided
site acronym,cap @ x con,metadata_not_provided
site acronym,head of tempe canal,metadata_not_provided
site acronym,Head of the Consolidated Canal,metadata_not_provided
site acronym,Middle of the Consolidated Canal,metadata_not_provided
site acronym,South canal below CAP,metadata_not_provided
site acronym,verde @ beeline,metadata_not_provided
site acronym,waddell canal,metadata_not_provided
